,y_test,y_pred,residual
3429,803,81184.63904111843,-80381.63904111843
6179,464,81403.98728449656,-80939.98728449656
3446,662,81533.80807155996,-80871.80807155996
139,6430,81616.72797533844,-75186.72797533844
3366,956,81646.56120061553,-80690.56120061553
5615,781,81682.01134454494,-80901.01134454494
1720,1871,81704.66911822515,-79833.66911822515
3717,5087,81729.07218158232,-76642.07218158232
4299,2912,81797.13555912356,-78885.13555912356
3879,754,81835.67615251461,-81081.67615251461
2541,1936,81854.80282804802,-79918.80282804802
2026,829,81894.52239839314,-81065.52239839314
2028,1951,81987.98743533193,-80036.98743533193
2530,1010,82256.93759170796,-81246.93759170796
765,404,82474.25616364511,-82070.25616364511
2909,1735,82498.71676188626,-80763.71676188626
1095,1510,82580.1085736681,-81070.1085736681
1608,716,82850.3826889049,-82134.3826889049
2560,986,82998.75461819267,-82012.75461819267
2566,1443,83040.43749910602,-81597.43749910602
366,1314,83147.9045251917,-81833.9045251917
4243,243,83201.89063739679,-82958.89063739679
73,350,83365.95386558062,-83015.95386558062
3709,850,83378.15027595685,-82528.15027595685
1411,984,83393.59775867137,-82409.59775867137
5304,980,83412.20971773851,-82432.20971773851
3917,1140,83464.11673138833,-82324.11673138833
1668,971,83519.34083274439,-82548.34083274439
643,510,83538.51433527152,-83028.51433527152
5910,800,83585.74160882582,-82785.74160882582
6219,839,83594.5710152696,-82755.5710152696
2842,620,83730.79557884618,-83110.79557884618
3023,390,83966.25171692701,-83576.25171692701
524,2486,84024.15972562094,-81538.15972562094
4855,421,84091.79376627234,-83670.79376627234
3020,500,84192.20556938314,-83692.20556938314
1662,1094,84255.94096895593,-83161.94096895593
2390,358,84346.11790056815,-83988.11790056815
5018,503,84835.85978100191,-84332.85978100191
331,350,85139.57799896131,-84789.57799896131
1492,1003,85186.03944633008,-84183.03944633008
2194,1398,85199.23124870763,-83801.23124870763
3511,630,85244.71295409415,-84614.71295409415
242,910,85300.72792110019,-84390.72792110019
5649,1190,85418.06733035197,-84228.06733035197
1226,449,85515.36642172161,-85066.36642172161
2182,700,85557.69189017011,-84857.69189017011
5238,2311,85613.06659068142,-83302.06659068142
170,2613,85825.191983486,-83212.191983486
1773,927,85852.2297831646,-84925.2297831646
2932,841,85913.63118123528,-85072.63118123528
4768,1590,85956.85580536771,-84366.85580536771
2596,759,86093.10948624175,-85334.10948624175
4425,610,86203.55773397002,-85593.55773397002
5795,519,86311.10006070313,-85792.10006070313
2752,301,86384.20412461861,-86083.20412461861
4771,400,86431.59469128554,-86031.59469128554
387,1642,86645.55617457749,-85003.55617457749
1137,786,86752.38897105514,-85966.38897105514
3063,976,86845.24251688176,-85869.24251688176
1518,1754,86922.13093643727,-85168.13093643727
4063,400,86927.32396924931,-86527.32396924931
768,937,86941.0434462785,-86004.0434462785
6251,550,86965.60779988457,-86415.60779988457
2451,950,86983.24825562387,-86033.24825562387
3052,477,86989.65896340017,-86512.65896340017
5218,800,87037.48247238398,-86237.48247238398
1957,406,87406.79142681301,-87000.79142681301
1814,616,87408.21076298258,-86792.21076298258
1655,976,87431.44720570801,-86455.44720570801
4803,2138,87466.78801896522,-85328.78801896522
4259,940,87538.74889992189,-86598.74889992189
6022,677,87711.60798780821,-87034.60798780821
2745,839,87758.86497316897,-86919.86497316897
5044,920,87861.91662913034,-86941.91662913034
345,1470,87933.27537830145,-86463.27537830145
837,1203,88008.90680134238,-86805.90680134238
5826,2780,88051.58910869434,-85271.58910869434
495,764,88261.35231198609,-87497.35231198609
3820,411,88276.08238380298,-87865.08238380298
3241,4000,88367.2672983775,-84367.2672983775
824,1644,88382.83368971231,-86738.83368971231
6217,947,88483.1341536169,-87536.1341536169
5016,689,88533.53727032879,-87844.53727032879
3295,2203,88655.39695915225,-86452.39695915225
3249,1141,88685.0892915097,-87544.0892915097
2328,2725,88710.76502626385,-85985.76502626385
1304,4789,88738.06855530881,-83949.06855530881
5781,381,88792.88356301632,-88411.88356301632
3727,720,88837.8505275596,-88117.8505275596
3740,1253,88876.40044758488,-87623.40044758488
5383,4480,88901.03650289451,-84421.03650289451
329,1029,88909.12583030894,-87880.12583030894
5783,850,88915.79263062157,-88065.79263062157
2762,397,89043.6536370349,-88646.6536370349
1528,683,89062.25075403103,-88379.25075403103
1846,2506,89103.45458656273,-86597.45458656273
623,2068,89174.34156857977,-87106.34156857977
1054,1188,89436.66835470032,-88248.66835470032
1586,699,89558.96106910692,-88859.96106910692
3518,450,89560.41854755404,-89110.41854755404
5040,900,89655.72203948736,-88755.72203948736
5257,1100,89723.48386642925,-88623.48386642925
1154,423,89862.86572624842,-89439.86572624842
4583,714,89925.22239017196,-89211.22239017196
2137,618,90012.4537756683,-89394.4537756683
4773,647,90488.95918326298,-89841.95918326298
6009,1446,90822.35789606803,-89376.35789606803
2906,500,90839.44723702745,-90339.44723702745
4088,2377,90860.90288948514,-88483.90288948514
5760,792,90879.60156805193,-90087.60156805193
1325,701,90946.67260862919,-90245.67260862919
1495,1600,90994.84607286434,-89394.84607286434
5243,1137,91099.80949331516,-89962.80949331516
3099,1779,91107.09344158431,-89328.09344158431
5310,1048,91258.70121534324,-90210.70121534324
5451,986,91300.64122247227,-90314.64122247227
864,1038,91352.79281676258,-90314.79281676258
2985,1557,91419.60381321805,-89862.60381321805
196,1240,91516.30276161473,-90276.30276161473
3851,839,91748.41951992306,-90909.41951992306
1377,890,91797.75106010791,-90907.75106010791
3372,3541,91977.0760009435,-88436.0760009435
5641,3654,92006.45444914035,-88352.45444914035
750,1511,92105.78696797678,-90594.78696797678
5400,799,92281.58509714252,-91482.58509714252
615,1209,92305.76001418379,-91096.76001418379
4129,2515,92340.68007768493,-89825.68007768493
5043,939,92375.23073589547,-91436.23073589547
6119,410,92546.22685566245,-92136.22685566245
1140,590,92601.21670006863,-92011.21670006863
4382,575,92643.2801767345,-92068.2801767345
458,1358,92646.39169345384,-91288.39169345384
2859,214,92771.22416084794,-92557.22416084794
5603,947,93069.95839239263,-92122.95839239263
3111,1890,93219.8202497507,-91329.8202497507
6261,300,93247.44442452733,-92947.44442452733
2281,595,93496.80828098865,-92901.80828098865
3940,4496,93620.16644749,-89124.16644749
2265,1935,93640.52288068291,-91705.52288068291
2822,420,93714.82093983966,-93294.82093983966
5075,780,93851.52471755265,-93071.52471755265
973,1256,93993.69745048483,-92737.69745048483
4253,750,93998.48495350995,-93248.48495350995
4529,504,94038.1536639447,-93534.1536639447
15,666,94042.2833601369,-93376.2833601369
4054,2114,94099.65248347509,-91985.65248347509
474,761,94103.80007221492,-93342.80007221492
708,1700,94262.62301273167,-92562.62301273167
2627,714,94283.50238430488,-93569.50238430488
5680,1699,94375.22781341373,-92676.22781341373
4424,400,94387.5089323197,-93987.5089323197
4181,881,94468.59330041656,-93587.59330041656
4167,4786,94573.99812285104,-89787.99812285104
5103,5857,94672.20279232213,-88815.20279232213
5068,500,94900.92682731706,-94400.92682731706
5923,849,95042.78553446245,-94193.78553446245
173,1104,95057.8445671992,-93953.8445671992
1437,480,95103.79631064064,-94623.79631064064
2891,479,95288.41192442158,-94809.41192442158
4541,814,95292.007630708,-94478.007630708
1771,531,95316.51620379262,-94785.51620379262
1192,859,95340.64438971876,-94481.64438971876
1517,890,95426.75875459662,-94536.75875459662
873,450,95544.42274337013,-95094.42274337013
3027,716,95585.34563260738,-94869.34563260738
6046,1150,95612.80674737255,-94462.80674737255
1830,4289,95743.59477123103,-91454.59477123103
5868,586,95758.7694156565,-95172.7694156565
4295,561,95774.59678237214,-95213.59678237214
6244,1152,95777.3371437912,-94625.3371437912
3373,703,95859.09639918637,-95156.09639918637
4863,301,95874.76205417678,-95573.76205417678
1301,280,95878.00997113407,-95598.00997113407
6006,851,95934.51486554912,-95083.51486554912
2270,796,95962.59522288218,-95166.59522288218
5713,1321,96017.17163195825,-94696.17163195825
3003,1432,96238.06267365642,-94806.06267365642
3106,1034,96309.15993743144,-95275.15993743144
4786,937,96349.26004675585,-95412.26004675585
1525,1243,96364.36777100131,-95121.36777100131
6122,800,96447.3301935862,-95647.3301935862
489,703,96470.58095882532,-95767.58095882532
4555,1487,96573.9470983157,-95086.9470983157
1692,400,96599.05778414044,-96199.05778414044
2372,914,96672.97470535513,-95758.97470535513
2635,850,96720.57689896175,-95870.57689896175
2942,969,96747.57024319642,-95778.57024319642
4649,443,96916.14585413584,-96473.14585413584
3267,696,96981.01686961403,-96285.01686961403
1547,889,97170.56512759443,-96281.56512759443
1768,838,97171.05941303578,-96333.05941303578
1811,729,97186.59931514136,-96457.59931514136
1094,1336,97348.37337398234,-96012.37337398234
5415,928,97582.31466908786,-96654.31466908786
2343,400,97596.29049125835,-97196.29049125835
6032,1628,97660.04409337851,-96032.04409337851
1376,469,97779.41374282406,-97310.41374282406
106,480,97930.9717059021,-97450.9717059021
6180,2000,98104.7121615041,-96104.7121615041
3294,804,98206.08092997069,-97402.08092997069
2284,1514,98282.91677991387,-96768.91677991387
1623,1535,98311.76518565252,-96776.76518565252
3616,280,98340.48342385158,-98060.48342385158
6074,324,98357.63769791141,-98033.63769791141
